rank,gene,prot_log2fc,prot_fdr,rna_log2fc,rna_fdr,uniprot,locations,surface_secreted,loc_reason,immune_rho,immune_infiltration_flag,assoc_expr,tractability,safety,selectivity,composite_0_100,retained_top12,n_agents,max_clinical_phase,any_indication_positive,ccrcc_direct_positive,ccrcc_interventional,agent_modality,agents,ccrcc_agents,example_ncts
40,ESM1,1.6559442753758309,2.3281896515813897e-27,3.2429304313866814,1.2890073363125317e-24,Q9NQ30,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,-0.05319743739079791,False,4.43,1.5,2.7,4.3,64.2,False,0,0,False,False,False,,,,
41,CD68,1.1831803231629403,7.937768956644168e-14,2.318801115813332,5.345956082849925e-28,P34810,Cell membrane; Endosome membrane; Lysosome membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.5487768045907581,True,3.04,1.5,4.7,4.3,63.8,False,0,0,False,False,False,,,,
42,CD300A,1.1267974763558732,1.8138670038827172e-19,2.385410913264715,3.453419198753153e-28,Q9UGN4,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.5215116787682618,True,2.85,3.0,4.2,2.8,63.7,False,0,0,False,False,False,,,,
43,ITGAL,1.374513406186873,5.3597204387836904e-30,1.600215503069981,1.592984919604697e-24,P20701,Cell membrane; Membrane raft,True,"locs=['Cell membrane', 'Membrane raft']; secreted=False; cellmem=True; kw_access=True",0.789482226179474,True,2.9,3.0,4.2,2.7,63.7,False,4,0,False,False,False,,EFALIZUMAB; LIFITEGRAST; ODULIMOMAB; ROVELIZUMAB,,
44,IL4I1,1.0745437758678307,1.282238864324728e-25,1.231564004091844,6.2735469589196375e-24,Q96RQ9,"Secreted; Lysosome; Cytoplasmic vesicle, secretory vesicle, acrosome",True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,0.49208123887022975,True,1.42,3.0,4.7,5.0,63.7,False,0,0,False,False,False,,,,
45,ITGAX,1.8404775456588236,1.1467814136327077e-30,2.0867956862293005,8.799143476114187e-28,P20702,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.5984401415594076,True,4.13,1.5,4.2,2.7,63.5,False,0,0,False,False,False,,,,
46,GPNMB,1.1844474112004475,1.60304371586276e-23,2.2098404781702823,1.5514537040133522e-24,Q14956,Cell membrane; Melanosome membrane; Early endosome membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.3061695557108401,False,2.98,1.5,4.7,4.3,63.4,False,1,0,False,False,False,,GLEMBATUMUMAB VEDOTIN,,
47,SLC2A3,1.7335228745480538,1.1467814136327077e-30,1.6933197724881732,6.26730429120528e-16,P11169,Cell membrane; Perikaryon; Cell projection,True,"locs=['Cell membrane', 'Cell projection']; secreted=False; cellmem=True; kw_access=True",0.04009196853233551,False,3.62,3.0,4.2,1.0,62.8,True,0,0,False,False,False,,,,
48,SPARC,1.1072045874754621,1.4874520653176751e-30,1.832137056541117,1.613149320777409e-26,P09486,"Secreted, extracellular space, extracellular matrix, basement membrane",True,"locs=['Secreted, extracellular space, extracellular matrix, basement membrane']; secreted=True; cellmem=False; kw_access=True",-0.08213601424610599,False,2.32,3.0,4.2,3.5,62.5,False,0,0,False,False,False,,,,
49,EMILIN2,1.4914721698240385,1.1467814136327077e-30,1.302853046271891,2.5963991204401034e-26,Q9BXX0,"Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",0.4114825417577711,True,2.79,1.5,4.7,4.3,62.2,False,0,0,False,False,False,,,,
