gene,uniprot,prot_log2fc,rna_log2fc,immune_rho,immune_infiltration_flag,dropped_by,retained,locations
CXCR4,P61073,1.1177218881130928,2.734301611401533,-0.23098807309333624,False,fc_rank_cutoff,False,Cell membrane; Cell junction; Early endosome; Late endosome; Lysosome
GZMA,P12544,1.1175878880415748,2.2834326936138196,0.5185357167008543,True,immune_filter,False,Secreted; Cytoplasmic granule
HVCN1,Q96D96,1.1082961818446055,0.997542150757446,0.4424552071668533,True,immune_filter,False,"Cell membrane; Apical cell membrane; Cytoplasmic vesicle, phagosome membrane; Cell projection, cilium, flagellum membrane"
SPARC,P09486,1.1072045874754621,1.832137056541117,-0.08213601424610599,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix, basement membrane"
SORCS3,Q9UPU3,1.0958691334568982,1.0189973038925015,-0.17792207792207793,False,fc_rank_cutoff,False,Cell membrane; Synaptic cell membrane; Postsynaptic density
NCEH1,Q6PIU2,1.0859924359128412,0.6408125192947907,0.22687825440119017,False,fc_rank_cutoff,False,Cell membrane; Microsome
LILRB1,Q8NHL6,1.0826035308686979,1.6925820995013878,0.2777777777777778,False,fc_rank_cutoff,False,Cell membrane; Secreted
MET,P08581,1.0823020151609124,1.3619476278077238,0.04668304668304668,False,fc_rank_cutoff,False,Membrane; Secreted
IGFBP3,P17936,1.0765831651236546,3.8190024959795146,0.11890539413475193,False,fc_rank_cutoff,False,Secreted; Nucleus
OLFML2A,Q68BL7,1.0749826614764502,1.5817177640356244,-0.33085106382978724,False,fc_rank_cutoff,False,Secreted
IL4I1,Q96RQ9,1.0745437758678307,1.231564004091844,0.49208123887022975,True,immune_filter,False,"Secreted; Lysosome; Cytoplasmic vesicle, secretory vesicle, acrosome"
PGF,P49763,1.065980774221667,3.118450755459212,-0.15690123829658711,False,fc_rank_cutoff,False,Secreted
LY86,O95711,1.06038285099361,2.032819046574752,0.6098901098901098,True,immune_filter,False,"Secreted, extracellular space"
PRF1,P14222,1.0599162620886644,2.048417664037126,0.034880418366656896,False,fc_rank_cutoff,False,Cytolytic granule; Secreted; Cell membrane; Endosome lumen
CD180,Q99467,1.059865171185351,1.1182099241534216,0.5268579672249396,True,immune_filter,False,Cell membrane
EGFR,P00533,1.0520515650504476,1.4434402499266317,-0.2518089398823344,False,fc_rank_cutoff,False,Cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Nucleus membrane; Endosome; Endosome membrane; Nucleus; Secreted
ECSCR,Q19T08,1.0511628897245744,1.2559721388380964,-0.21959423761051036,False,fc_rank_cutoff,False,Cell membrane; Cytoplasm
PECAM1,P16284,1.0382160163600027,1.5869380794692178,-0.13211460000450828,False,fc_rank_cutoff,False,Cell membrane; Cell membrane; Membrane raft; Cell junction; Cell junction
GZMK,P49863,1.0361049287680761,2.0029002759994006,0.5445378151260504,True,immune_filter,False,Secreted; Cell surface; Cytoplasmic granule
IGFLR1,Q9H665,1.0339380134171536,0.8502153772910812,0.14995076243621497,False,fc_rank_cutoff,False,Cell membrane
ADGRE2,Q9UHX3,1.031860394311494,0.8483191445987692,0.5043898156277437,True,immune_filter,False,"Cell membrane; Cell projection, ruffle membrane"
CD2,P06729,1.0195172382929099,2.0589343713452575,0.7132655591371188,True,immune_filter,False,Cell membrane
ITGAM,P11215,1.0184752624191589,1.6694502951281587,0.6389513784009196,True,immune_filter,False,Cell membrane; Membrane raft
ITGA5,P08648,1.012284830137491,2.1402255844802154,0.20584270676013797,False,fc_rank_cutoff,False,"Cell membrane; Cell junction, focal adhesion"
